Field=Designator~String~Designator~138|Field=Order~String~Order~153|Field=Quantity~Integer~Quantity~153|Field=Value~String~Value~153|Field=Footprint~String~Footprint~153|Field=Avail~String~Avail~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=DocumentName~String~DocumentName~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|Field=Title~String~Title~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Micron-6.PrjPcb|ReportField=ProjectFullPath~C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|ReportField=Title~Bill of Materials For Project [Micron-6.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~76|ReportField=ReportTime~12:57:43|ReportField=ReportDate~20.11.2014|ReportField=ReportDateTime~20.11.2014 12:57:43|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Дозиметр Ультра-Микрон|ReportField=Address2~(с) Быканов Андрей|ReportField=Address3~Тула, 2014г.|ReportField=Address4~shodan@микрон.net|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Andrey Bykanov|ReportField=CheckedBy~|ReportField=CompanyName~http://микрон.net|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~18.11.2013|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Andrey Bykanov|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=ProjectName~|ReportField=Revision~3.31|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Ультра-Микрон|ReportField=DataSourceFileName~Micron-6.PrjPcb|ReportField=DataSourceFullPath~C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb
Batt+1|EEMB LP401230|1||Sensor contact|||Plug||Batt+1|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
Batt-1||1||Sensor contact|||Plug||Batt-1|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C1|CC1206JRNPOBBN100|1|10pF|C1206||10pF|Capacitor (Semiconductor SIM Model)||C1|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C2|1812AC103KAT1A|1|10nF 1000V|1812||10nF 1000V|Capacitor (Semiconductor SIM Model)||C2|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C3|GRM188R71E104KA01D|1|100nF|1608[0603]||100nF|Capacitor (Semiconductor SIM Model)||C3|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C4|0402ZD104KAT2A|1|100nF|0402 AVX||100nF|Capacitor (Semiconductor SIM Model)||C4|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C5|CC0402KRX5R5BB105|1|1uF|0402 AVX|1|1uF|Capacitor (Semiconductor SIM Model)||C5|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C6|CC0402KRX5R5BB105|1|1uF|0402 AVX|1|1uF|Capacitor (Semiconductor SIM Model)||C6|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C7|GRM1555C1H180JZ01D|1|18pF|0402 AVX||18pF|Capacitor (Semiconductor SIM Model)||C7|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C8|GRM1555C1H180JZ01D|1|18pF|0402 AVX||18pF|Capacitor (Semiconductor SIM Model)||C8|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
C9|CC1206KKX7R8BB475|1|4u7|C1206|1|4u7|Capacitor (Semiconductor SIM Model)||C9|Micron-6|C:\Проекты\Ультра-микрон\PCB\Micron-6.PrjPcb|Ультра-Микрон
